장소,분류,별점,주소,상호 번호
동대문엽기떡볶이 방이점,떡볶이,2.3,"
서울 송파구 오금로17길 5
(지번) 방이동 104-13
",02-413-8592
커피야,카페,5.0,"
서울 송파구 백제고분로41길 22
(지번) 송파동 25-3
",02-3431-5573
이슬재 YISEULJAE,카페,4.6,"
서울 송파구 백제고분로41길 19-24 1층 101호
(지번) 송파동 13-15
",010-5080-7738
사사노하,일본식주점,4.2,"
서울 송파구 백제고분로42길 4-13 1층
(지번) 송파동 85-12
",070-4101-4451
버거킹 송파구청점,패스트푸드,3.4,"
서울 송파구 오금로 99 진넥스빌딩 1층
(지번) 방이동 65-2
",02-419-0332
크레뮤 러빙 클럽,디저트카페,3.9,"
서울 송파구 백제고분로45길 21 2층
(지번) 송파동 40
",
멍꼬치,한식,5.0,"
서울 송파구 오금로15길 5-8 1층 101호
(지번) 방이동 67
",0507-1412-1245
루티드,카페,5.0,"
서울 송파구 오금로17길 7 101호
(지번) 방이동 104-3
",070-8844-1707
에프라운지,카페,2.5,"
서울 송파구 백제고분로41길 7-15 굿피플오피스 9층
(지번) 송파동 18-11
",
이디야커피 송파동점,커피전문점,2.8,"
서울 송파구 백제고분로41길 5
(지번) 송파동 18-4
",02-417-5870
옛촌매운갈비찜,갈비,2.9,"
서울 송파구 올림픽로32길 24 1층
(지번) 방이동 62
",02-412-8899
큰맘할매순대국 석촌역점,순대,2.0,"
서울 송파구 백제고분로41길 8
(지번) 송파동 21
",02-422-7740
별미곱창 방이2호점,"곱창,막창",2.6,"
서울 송파구 올림픽로32길 22
(지번) 방이동 63-14
",02-414-4545
어소반 석촌호수점,"해물,생선",3.3,"
서울 송파구 백제고분로41길 8
(지번) 송파동 21
",02-424-0033
곱창고 석촌역점,"곱창,막창",3.0,"
서울 송파구 백제고분로41길 16 일송빌딩 1층
(지번) 송파동 23
",02-415-8296
마로 파티세리,디저트카페,5.0,"
서울 송파구 백제고분로41길 20 1층 102호
(지번) 송파동 24
",010-4160-1680
제주은희네해장국 잠실직영점,해장국,3.5,"
서울 송파구 송파대로49길 10 1층
(지번) 석촌동 183-7
",02-6013-0831
동래별장,회,3.7,"
서울 송파구 올림픽로32길 18-11
(지번) 방이동 63-1
",02-422-0469
도톤보리,일본식주점,3.1,"
서울 송파구 올림픽로32길 28 2층
(지번) 방이동 62-9
",
79대포 방이점,실내포장마차,4.2,"
서울 송파구 올림픽로32길 36 1층
(지번) 방이동 71-9
",02-424-7977
소호정 송파점,국수,2.4,"
서울 송파구 오금로13길 3 동마루빌딩 1층
(지번) 방이동 65-4
",02-421-4448
수빈식당,"해물,생선",4.7,"
서울 송파구 백제고분로41길 7
(지번) 송파동 18-18
",02-424-0883
글로리식당,한식,3.8,"
서울 송파구 백제고분로42길 4-13
(지번) 송파동 85-12
",070-8830-9523
필앳홈,카페,,"
서울 송파구 백제고분로41길 6-5 연빌딩 1층
(지번) 송파동 21-5
",010-2239-7038
볼우물,양식,4.8,"
서울 송파구 백제고분로41길 6-5 연빌딩 3층 302호
(지번) 송파동 21-5
",010-5574-1141
바다수퍼 방이본점,조개,2.0,"
서울 송파구 오금로15길 9-12 1층
(지번) 방이동 69-10
",02-423-0333
플랭,와인바,5.0,"
서울 송파구 백제고분로41길 19-1 2층 플랭
(지번) 송파동 13-4
",070-4006-3452
미스타교자 방이점,한식,4.7,"
서울 송파구 오금로15길 7-12 초원하우스 1층 101호
(지번) 방이동 68-1
",02-415-5036
한우림 송파점,"육류,고기",1.0,"
서울 송파구 백제고분로41길 24 1층
(지번) 송파동 25
",02-424-2013
석촌활어회,회,4.4,"
서울 송파구 백제고분로 384 평화빌딩 1층
(지번) 송파동 84-2
",
삿뽀로 방이점,일식집,3.5,"
서울 송파구 오금로11길 7 제이타워빌딩 2층
(지번) 방이동 24-3
",02-418-7797
양평두물머리해장국 송파본점,해장국,2.7,"
서울 송파구 백제고분로 384
(지번) 송파동 84-2
",02-2202-9383
아지태,일본식주점,4.7,"
서울 송파구 백제고분로 426 백상빌딩 1층 101호
(지번) 송파동 135
",010-5353-8994
파머쓰,카페,0.0,"
서울 송파구 백제고분로45길 21
(지번) 송파동 40
",
유주얼,디저트카페,3.9,"
서울 송파구 오금로17길 4-7 1층 102호
(지번) 방이동 105-13
",
오봉집 석촌역점,한식,2.0,"
서울 송파구 백제고분로 385 101호
(지번) 송파동 19-8
",
